t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770271250.5355363,1.2901267826825373,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.010102562472263172,0.18007081094814514,0.007764739705177128,-0.014694008316460477
1770271250.95799,1.2903534292101853,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.010102562472263172,-0.002182957232085257,0.005446020820348569,-0.17140976661319213
1770271251.3701665,1.2903534292101853,0.0,0.020000000000030656,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.010102562472263172,-0.005940551725633831,0.004159949213638755,-0.17570713218228373
1770271251.7827072,1.2903534292101853,0.0,0.02000000000002514,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.010102562472263172,-0.004687892033202836,0.0031210534037248937,-0.17494920281513007
1770271252.2099113,1.2903534292101853,0.0,0.020000000000020616,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.010102562472263172,-0.003350942206519616,0.0024063081385427678,-0.17393721056656472
1770271252.6268284,1.2903534292101853,0.0,0.020000000000016904,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.010102562472263172,-0.0028811676634811685,0.001693443135796458,-0.17382368049865587
1770271253.0387678,1.2903534292101853,0.0,0.02000000000001386,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.010102562472263172,-0.002188520823512706,0.00134367247203439,-0.17326960955667
1770271253.4646783,1.2903534292101853,0.0,0.020000000000011366,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.010102562472263172,-0.0015077238346699509,0.0009547412754150914,-0.17278719421942265
1770271253.893432,1.2903534292101853,0.0,0.02000000000000932,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.11100496289624047,-0.0011391815613119734,0.0006374164106440112,-0.22302135395725406
1770271254.337118,1.2903534292101853,0.0,0.020000000000007644,1.2515569973015779,0.0,0.0914357924300433,0.15625000000000003,0.11125255686240336,0.1657798248340448,0.008607488529599371,-0.0616493662123423
1770271254.7803118,1.2906911648476116,0.0,0.020000000000006266,1.2515569973015779,0.0,0.0914357924300433,0.15625000000000003,0.11226085600940133,0.15757678183677315,0.03361838036224887,-0.0431491088436143
1770271255.1954763,1.2909756397318832,0.0,0.02000000000000514,1.2515569973015779,0.0,0.0914357924300433,0.25,0.09945631411398528,0.1473317073121491,0.05040079381825191,-0.1288742941813179
1770271255.6291282,1.291157340230941,0.0,0.020000000000004212,1.2515569973015779,0.0,0.0914357924300433,0.25,0.10107142496358378,0.24948171666427107,0.06385501406892793,-0.02047191080812445
1770271256.0512698,1.2914883957839005,0.0,0.020000000000003453,1.2515569973015779,0.0,0.0914357924300433,0.25,0.09731814653705782,0.25419702942143324,0.06580826265202322,-0.02014729622226007
1770271256.4970295,1.291819180004596,0.0,0.02000000000000283,1.2515569973015779,0.0,0.0914357924300433,0.25,0.10079803383493494,0.2552570381578764,0.0722640846682587,-0.02016959494283809
1770271256.9153762,1.2921455291497699,0.0,0.02000000000000232,1.2515569973015779,0.0,0.0914357924300433,0.25,0.10740242373356235,0.25188079052815726,0.0785679075771227,-0.016928430897263484
1770271257.332541,1.2924644296610346,0.0,0.020000000000001905,1.2515569973015779,0.0,0.0914357924300433,0.25,0.10832110316515858,0.25462622986514505,0.08164347357453924,-0.01827260126019637
1770271257.749902,1.292783916771411,0.0,0.02000000000000156,1.2515569973015779,0.0,0.0914357924300433,0.25,0.10679369033348858,0.24945653090970835,0.09251023291360817,-0.008771873734138751
1770271258.1704798,1.2930751819145672,0.0,0.02000000000000156,1.2515569973015779,0.0,0.0914357924300433,0.25,0.16967485926319328,0.24937722414861657,0.09746135053580555,-0.03722464197729703
1770271258.6005926,1.2934367331862442,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.23958333333333343,0.10873795876139473,0.2471083241642823,0.10836968239733397,-0.0087999621991321
1770271259.021474,1.293704852061867,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.22916666666666674,0.10697173010800651,0.2293324095156508,0.1046279727244194,-0.001711792508069057
1770271259.4443614,1.2939520386350147,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.21875000000000006,0.09082237284488558,0.21479601493227365,0.10468362893678695,-0.010890178734913845
1770271259.8664207,1.2941582388120882,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.19791666666666674,0.08458122855587379,0.2067866285507102,0.10029595540900717,-0.01716609266338813
